PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
10303937,Al Thanyah First,2393.17,2026,1798,07-04-2026 9.40,10303937,2393.17,Land,Commercial
10321564,Al Nahda First,998.86,2026,1720,01-04-2026 9.17,10321564,998.86,Land,Commercial
10399994,Jumeirah Second,1207.74,2026,2983,29-06-2026 10.32,10399994,1207.74,Land,Residential
10457425,Al Hebiah Fourth,1295.37,2026,602,26-01-2026 10.31,10457425,1295.37,Land,Land
10464061,Al Mamzer,1620.24,2026,1569,23-03-2026 10.36,10464061,1620.24,Land,Residential
10466795,Al Warqa First,1389.14,2026,2843,22-06-2026 14.22,10466795,1389.14,Land,Residential Flats
10500000,Muhaisanah First,3678.96,2026,977,11-02-2026 13.16,10500000,3678.96,Land,Residential
10500830,Al Qusais Industrial Fifth,1219.45,2026,1878,10-04-2026 8.43,10500830,1219.45,Land,Commercial
10594993,Al Barshaa South Third,1514.32,2026,454,19-01-2026 9.49,10594993,1514.32,Land,Commercial
10656037,Al Khawaneej First,1767.82,2026,2130,27-04-2026 8.38,10656037,1767.82,Land,General Use
10663263,Al Nahda First,1042.79,2026,1957,16-04-2026 10.35,10663263,1042.79,Land,Commercial
10664388,Al Nahda First,1042.9,2026,1953,16-04-2026 10.26,10664388,1042.9,Land,Commercial
10664899,Al Nahda First,1042.95,2026,1954,16-04-2026 10.30,10664899,1042.95,Land,Commercial
10776541,Al Nahda First,1042.89,2026,1958,16-04-2026 10.36,10776541,1042.89,Land,Commercial
10776644,Al Nahda First,1042.9,2026,1959,16-04-2026 10.39,10776644,1042.9,Land,Commercial
10776644,Al Nahda First,1042.9,2026,1960,16-04-2026 10.40,10776644,1042.9,Land,Commercial
10776960,Al Nahda First,1042.95,2026,1469,12-03-2026 10.42,10776960,1042.95,Land,Commercial
10777161,Al Nahda First,1042.95,2026,1961,16-04-2026 10.43,10777161,1042.95,Land,Commercial
10856943,Jumeirah Second,1440.6,2026,689,29-01-2026 15.26,10856943,744.15,Land,Residential
10869957,Al Barshaa South Third,1553.62,2026,1094,16-02-2026 12.14,10869957,1553.62,Land,Commercial
10886972,Al Goze Industrial Second,3890.13,2026,2448,19-05-2026 13.40,10886972,3890.13,Land,Industrial
10920426,Al Khawaneej First,1749.21,2026,2162,28-04-2026 7.19,10920426,1749.21,Land,General Use
10941526,Al Yelayiss 1,1694.17,2026,1460,11-03-2026 13.15,10941526,1694.17,Land,Villa
10997084,Nad Al Shiba Second,1857.57,2026,2750,16-06-2026 19.21,10997084,1857.57,Land,Government Housing
10999985,Jumeirah Second,464.52,2026,39,05-01-2026 8.24,10999985,929.03,Land,Residential
11000000,Al Suq Al Kabeer,364.28,2026,867,06-02-2026 11.15,11000000,364.28,Land,Commercial
11000000,Mirdif,1381.1,2026,1300,26-02-2026 11.44,11000000,1381.1,Land,Residential
11000000,Al Dhagaya,235.7,2026,2433,19-05-2026 11.35,11000000,235.7,Land,Commercial
11000000,Al Thanyah Fifth,744.76,2026,1520,16-03-2026 12.12,11000000,744.76,Land,Commercial
11000000,Al Hebiah Fifth,640,2026,681,29-01-2026 10.07,11000000,640,Land,Residential
11000000,Dubai Investment Park First,10521.27,2026,2578,03-06-2026 14.05,11000000,10521,Land,Commercial
11000000,Al Thanyah Fifth,932.32,2026,543,22-01-2026 10.20,11000000,932.32,Land,Commercial
11000000,Naif,269.6,2026,1338,02-03-2026 10.34,11000000,269.6,Land,Commercial
11031990,Al Goze First,3660.38,2026,1684,31-03-2026 8.49,11031990,3660.38,Land,
11094664,Al Mamzer,1472.47,2026,45,05-01-2026 10.29,11094664,1472.47,Land,General Use
11132537,Nad Al Hamar,1591.15,2026,301,13-01-2026 12.21,11132537,1591.15,Land,Commercial
11148989,Hadaeq Sheikh Mohammed Bin Rashid,1294.73,2026,2545,02-06-2026 11.22,11148989,1294.72,Land,Commercial
11242194,Al Merkadh,696.29,2026,858,06-02-2026 9.01,11242194,696.29,Land,Residential
11320566,Mirdif,876.43,2026,1575,23-03-2026 13.08,11320566,876.43,Land,Residential Flats
11326798,Al Karama,701.52,2026,536,21-01-2026 16.12,11326798,701.53,Land,Commercial
11460001,Al Nahda Second,1774.45,2026,2856,23-06-2026 13.15,11460001,1774.45,Land,Commercial
11500000,Mirdif,1381,2026,105,06-01-2026 14.49,11500000,1381.1,Land,Residential
11501981,Al Buteen,237.46,2026,246,12-01-2026 9.16,11501981,237.46,Land,Commercial
11518449,Al Raffa,1189,2026,1465,12-03-2026 1.21,11518449,1189,Land,
11591278,Saih Shuaib 2,3076.76,2026,667,28-01-2026 16.05,11591278,3076.76,Land,Industrial
11609899,Al Mararr,599.22,2026,1833,09-04-2026 8.30,11609899,599.22,Land,Commercial
11659483,Wadi Al Safa 3,1444.27,2026,2205,01-05-2026 10.33,11659483,1444.27,Land,Residential
11774711,Al Warsan First,1250.18,2026,2257,05-05-2026 13.50,11774711,1250.18,Land,Commercial
11883242,Al Nahda First,1149.99,2026,1722,01-04-2026 9.21,11883242,1149.99,Land,Commercial
11894949,Um Suqaim Second,1700.1,2026,43,05-01-2026 10.04,11894949,1700.12,Land,Residential
11900912,Al Wasl,1005.12,2026,2330,12-05-2026 10.12,11900912,1005.12,Land,Residential
11999983,Al Karama,929.03,2026,862,06-02-2026 9.33,11999983,929.03,Land,Commercial
11999983,Mankhool,929.03,2026,1987,17-04-2026 9.56,11999983,929.03,Land,Commercial
11999983,Jabal Ali Industrial First,1858.06,2026,2328,12-05-2026 10.07,11999983,1858.06,Land,Labor Camp
11999983,Al Raffa,929.03,2026,687,29-01-2026 14.58,11999983,929.03,Land,Commercial
11999983,Mirdif,2787.09,2026,1241,24-02-2026 10.40,11999983,2787.09,Land,Residential
11999983,Al Ttay,1858.06,2026,963,11-02-2026 11.57,11999983,1858.06,Land,Labor Camp
11999983,Al Ttay,1858.06,2026,961,11-02-2026 11.41,11999983,1858.06,Land,Labor Camp
12000000,Al Barsha Second,1811.76,2026,308,13-01-2026 14.23,12000000,1811.76,Land,Residential
12000000,Al Thanayah Fourth,540.02,2026,518,21-01-2026 11.33,12000000,540.05,Land,Commercial
12000000,Al Khawaneej First,900.98,2026,238,10-01-2026 14.43,12000000,900.98,Land,Residential
12000000,Al Safouh First,692.25,2026,1607,24-03-2026 13.49,12000000,692.25,Land,Commercial
12000000,Al Safouh First,759.09,2026,1606,24-03-2026 13.41,12000000,759.09,Land,Commercial
12000000,Um Suqaim Second,1114.84,2026,1871,09-04-2026 15.19,12000000,1114.84,Land,Residential
12000000,Al Suq Al Kabeer,274.71,2023,2671,13-01-2026 11.20,12000000,274.71,Land,Commercial
12000000,Al Barshaa South Second,929.03,2026,2468,20-05-2026 10.28,12000000,929.03,Land,Residential
12000000,Al Suq Al Kabeer,457.55,2026,372,14-01-2026 14.10,12000000,457.55,Land,Commercial
12000000,Dubai Investment Park Second,5717.29,2026,749,02-02-2026 15.44,12000000,5717,Land,Commercial
12000000,Um Suqaim Second,576.02,2026,637,27-01-2026 8.54,12000000,576.02,Land,Residential
12000000,Lehbab Second,3716.12,2026,1202,23-02-2026 10.15,12000000,3716.12,Land,Petrol Station
12000000,Ras Al Khor Industrial First,3446.7,2026,2929,25-06-2026 12.02,12000000,3446.7,Land,Commercial
12000000,Um Al Sheif,1114.84,2026,1497,15-03-2026 11.32,12000000,1114.84,Land,Residential
12000000,Al Satwa,1379.89,2026,462,19-01-2026 10.53,12000000,1383.33,Land,Commercial
12000026,Al Manara,1393.55,2026,2943,26-06-2026 8.54,12000026,1393.55,Land,Residential
12067925,Jumeirah First,1601.64,2026,1457,11-03-2026 12.17,12067925,1601.64,Land,Residential
12175230,Jabal Ali Industrial First,7540.79,2026,1416,09-03-2026 10.23,12175230,7540.78,Land,Industrial
12202248,Al Raffa,1030.57,2026,1109,16-02-2026 15.45,12202248,1030.57,Land,Commercial
12257451,Al Merkadh,543.3,2026,2355,12-05-2026 16.22,12257451.18,543.3,Unit,Flat
12315893,Al Thanyah Third,762.79,2026,1742,02-04-2026 8.13,12315893,762.79,Land,Residential
12470383,Al Nahda First,1206.81,2026,1721,01-04-2026 9.19,12470383,1206.81,Land,Commercial
12485236,Al Warsan First,1325.62,2026,2259,05-05-2026 13.58,12485236,1325.62,Land,Commercial
12486877,Al Goze Fourth,1160.07,2026,957,11-02-2026 11.16,12486877,1160.07,Land,Land
12500000,Muhaisanah First,5574.18,2026,2482,21-05-2026 9.07,12500000,5574.18,Land,Residential
12539933,AL QUSAIS,2118.18,2026,2211,01-05-2026 17.33,12539933,2118.18,Land,Commercial
12621130,Al Barshaa South Third,1737.1,2026,660,28-01-2026 10.11,12621130,1737.1,Land,
12672264,Wadi Al Safa 3,3550.81,2026,1410,08-03-2026 12.40,12672264,3924.31,Land,Residential
12730895,Al Murqabat,906.18,2026,1209,23-02-2026 12.49,12730895,909.8,Land,Commercial
12748747,Al Warqa First,1393.41,2026,1083,16-02-2026 10.13,12748747,1393.41,Land,Commercial
12776378,Al Warqa First,1396.43,2026,975,11-02-2026 12.26,12776378,1396.43,Land,Commercial
12799676,Um Suqaim Second,1189.13,2026,1378,04-03-2026 12.57,12799676,1189.13,Land,Residential
12895307,Dubai Investment Park Second,6827.7,2026,100,06-01-2026 13.48,12895307,14975.18,Land,Commercial
12916594,Al Merkadh,2999.98,2026,823,05-02-2026 10.15,12916594,2999.98,Land,Land
12979800,Al Wasl,1096.24,2026,2327,12-05-2026 10.03,12979800,1096.24,Land,Residential
12999982,Al Muteena,929.03,2026,2176,28-04-2026 14.32,12999982,929.03,Land,Commercial
13000000,Al Wasl,1430.71,2026,2626,08-06-2026 10.06,13000000,1430.71,Land,Residential
13000000,Mirdif,2717.41,2026,52,05-01-2026 12.04,13000000,2717.41,Land,Residential
13000000,Nad Al Shiba First,697.5,2026,2764,17-06-2026 12.31,13000000,697.5,Land,Residential
13000000,Jumeirah Second,951.74,2026,2293,07-05-2026 12.43,13000000,951.74,Land,Residential
13000000,Al Thanayah Fourth,756.77,2026,2880,24-06-2026 19.04,13000000,756.77,Land,Commercial
13000000,Um Al Sheif,1393.55,2026,310,13-01-2026 14.32,13000000,1393.55,Land,Residential
13000000,Al Thanayah Fourth,772.95,2026,2712,12-06-2026 8.08,13000000,772.95,Land,Commercial
13000000,Al Warqa First,1402.74,2026,1503,15-03-2026 12.43,13000000,1402.74,Land,
13000000,Jabal Ali Industrial First,1175.22,2026,2539,01-06-2026 12.10,13000000,1175.22,Land,Industrial
13000000,Naif,401.06,2026,53,05-01-2026 12.07,13000000,401.06,Land,Commercial
13000000,Al Barsha Second,1393.55,2026,222,09-01-2026 10.01,13000000,1393.55,Land,Residential
13000000,Um Suqaim Third,1374.96,2026,941,10-02-2026 14.27,13000000,1374.96,Land,Residential
13020013,Al Barsha First,864,2026,2783,18-06-2026 9.11,13020013,864,Land,Commercial
13177166,Mirdif,1530.25,2026,2812,19-06-2026 10.22,13177166,1530.25,Land,Commercial
13333673,Um Suqaim First,1238.74,2026,1252,24-02-2026 12.43,13333673,1238.74,Land,Residential
13345309,Al Barsha First,1127.11,2026,1948,16-04-2026 9.34,13345309,1127.11,Land,
13368764,Al Merkadh,690,2026,2392,15-05-2026 11.01,13368764,690,Land,
13440371,Al Warqa First,1664.87,2026,245,12-01-2026 9.03,13440371,1664.87,Land,Government Housing
13507650,Jumeirah Second,1930.62,2026,848,05-02-2026 14.56,13507650,1930.62,Land,Residential
13601910,Al Merkadh,1263.66,2026,2557,02-06-2026 18.51,13601910,1263.66,Land,Villa
13744567,Jumeirah First,1647.64,2026,565,23-01-2026 10.00,13744567,1647.63,Land,Residential
13809201,Port Saeed,1350.44,2026,2386,15-05-2026 8.22,13809201,1350.44,Land,Commercial
13831181,Al Barshaa South Third,2141.6,2026,914,10-02-2026 8.09,13831181,2141.6,Land,
13851235,Marsa Dubai,1005.72,2026,1821,08-04-2026 12.19,13851234.92,1005.72,Unit,Flat
13857157,Marsa Dubai,1006.15,2026,1816,08-04-2026 11.22,13857157.08,1006.15,Unit,Flat
13890598,Um Suqaim Third,1720.64,2026,1781,06-04-2026 12.30,13890598,1720.64,Land,
13895881,Al Warsan First,2049.16,2026,2179,28-04-2026 15.11,13895881,2049.16,Land,Commercial
13936162,Al Nahda First,1296.69,2026,1468,12-03-2026 10.38,13936162,1296.69,Land,Commercial
14000000,Lehbab First,29807.56,2026,803,04-02-2026 9.06,14000000,29807.59,Land,Agricultural
14000000,Al Qusais Industrial First,3350.1,2026,1087,16-02-2026 11.10,14000000,3350.1,Land,Industrial
14000000,Al Barsha First,1235.24,2026,1802,07-04-2026 13.47,14000000,1235.24,Land,
14000000,Al Safouh First,884.38,2026,1605,24-03-2026 13.27,14000000,884.38,Land,Commercial
14000000,Um Al Sheif,1374.96,2026,2060,21-04-2026 11.56,14000000,1374.96,Land,Residential
14000000,Jumeirah Second,1039.77,2026,2183,29-04-2026 9.38,14000000,1040,Land,Residential
14000000,Al Wasl,1374.96,2026,1311,26-02-2026 14.17,14000000,1374.96,Land,Residential
14000000,Al Ras,205.85,2026,505,20-01-2026 18.41,14000000,205.85,Land,Commercial
14017518,Al Warsan First,1488.31,2026,2258,05-05-2026 13.54,14017518,1488.31,Land,Commercial
14024414,Um Suqaim Second,2171.52,2026,2286,07-05-2026 11.28,14024414,2171.52,Land,Residential
14039914,Al Mamzer,1863.36,2026,2459,20-05-2026 8.18,14039914,1863.36,Land,BANK
14091120,Marsa Dubai,581.81,2026,743,02-02-2026 14.54,14091120.1,581.81,Unit,Flat
14123150,Abu Hail,3807.08,2026,665,28-01-2026 13.44,14123150,7289.36,Land,Commercial
14189350,Al Yelayiss 1,2636.47,2026,8,02-01-2026 9.35,14189350,2636.47,Land,Villa
14250795,Al Yelayiss 1,2407.17,2026,2299,08-05-2026 9.47,14250795,2407.17,Land,Villa
14282974,Hor Al Anz,1474.37,2026,1543,17-03-2026 13.59,14282974,1474.37,Land,Residential
14299938,Mankhool,1021.93,2026,438,16-01-2026 10.46,14299938,1021.93,Land,Commercial
14339452,Al Yelayiss 1,2664.36,2026,281,13-01-2026 9.57,14339452,2664.36,Land,Villa
14359877,Um Al Sheif,1778.77,2026,1751,02-04-2026 13.13,14359877,1778.77,Land,
14435520,AL QUSAIS,2682.21,2026,560,22-01-2026 18.37,14435520,2682.21,Land,Commercial
14442786,Hadaeq Sheikh Mohammed Bin Rashid,1118.15,2026,2948,26-06-2026 9.17,14442786,1118.15,Land,Residential
14640992,Jumeirah First,618.27,2026,2679,10-06-2026 8.16,14640992,618.27,Land,Residential
14694984,Al Warsan First,1365.21,2026,165,07-01-2026 17.17,14694984,1365.21,Land,Commercial
14697696,Al Mamzer,2275.77,2026,1568,23-03-2026 10.31,14697696,2275.77,Land,General Use
14711916,Hor Al Anz,2485.06,2026,2571,03-06-2026 11.17,14711916,2485.06,Land,Commercial
14762129,Al Saffa First,2109.92,2026,2195,30-04-2026 10.51,14762129,2109.92,Land,Residential
14763711,Al Rowaiyah Second,5486.38,2026,828,05-02-2026 10.43,14763711,5486.38,Land,
14805600,Al Nahda First,1146.24,2026,1441,10-03-2026 11.17,14805600,1146.24,Land,Commercial
14927705,Al Yelayiss 1,2521.51,2026,2363,13-05-2026 11.49,14927705,2521.51,Land,Residential
14985071,Al Hebiah Second,3164,2026,402,15-01-2026 9.51,14985071,3164,Land,Land
14998526,Al Warqa First,1393.41,2026,1687,31-03-2026 9.46,14998526,1393.41,Land,Commercial
14999979,Rega Al Buteen,929.03,2026,2054,21-04-2026 10.23,14999979,929.03,Land,Commercial
15000000,Ras Al Khor Industrial Second,3716.12,2026,1088,16-02-2026 11.27,15000000,3716.12,Land,Industrial
15000000,Al Mararr,371.43,2026,1628,25-03-2026 14.20,15000000,371.55,Land,Commercial
15000000,Ras Al Khor Industrial First,3982.47,2026,2019,20-04-2026 9.07,15000000,3982.47,Land,Industrial
15000000,Jumeirah First,1616.51,2026,313,13-01-2026 14.45,15000000,1616.51,Land,Residential / Villas
15000000,Al Hamriya,830.35,2026,1415,09-03-2026 10.00,15000000,830.35,Land,Commercial
15000000,AL TWAR FIFTH,1598.5,2026,514,21-01-2026 10.50,15000000,1598.5,Land,Residential
15000000,Al Manara,1392.77,2026,317,13-01-2026 15.02,15000000,1393.55,Land,Residential
15000000,Al Khawaneej First,1858.06,2026,516,21-01-2026 11.22,15000000,1858.06,Land,Residential
15000000,Um Suqaim Third,771.75,2026,413,15-01-2026 14.04,15000000,771.75,Land,Residential
15015641,Al Warqa First,1395.31,2026,2364,13-05-2026 12.38,15015641,1395,Land,
15019989,Al Goze Industrial First,6977.02,2026,1867,09-04-2026 14.37,15019989,6977.02,Land,Industrial
15028772,Al Khawaneej First,1994.6,2026,2814,19-06-2026 10.55,15028772,3989.2,Land,Agricultural
15082387,Hatta,14012.01,2026,2610,05-06-2026 7.35,15082387,14012.01,Land,Hospital
15171706,Saih Shuaib 2,3132.22,2026,2345,12-05-2026 11.36,15171706,3132.22,Land,Industrial
15267296,Al Hebiah Second,3223.59,2026,427,16-01-2026 8.57,15267296,3223.59,Land,Land
15316771,AL TWAR FIFTH,1778.72,2026,500,20-01-2026 14.23,15316771,1778.72,Land,Commercial
15348378,Al Hebiah Second,3240.71,2026,382,15-01-2026 8.27,15348378,3240.71,Land,Land
15348615,Al Hebiah Second,3240.76,2026,428,16-01-2026 8.59,15348615,3240.76,Land,Land
15358656,Al Hebiah Second,3242.88,2026,392,15-01-2026 9.18,15358656,3242.88,Land,Land
15358845,Al Hebiah Second,3242.92,2026,426,16-01-2026 8.55,15358845,3242.92,Land,Land
15429669,Al Goze Industrial Second,4410.66,2026,697,30-01-2026 13.27,15429669,4410.66,Land,Industrial
15475367,Business Bay,1437.71,2026,1621,25-03-2026 10.05,15475367,1437.71,Land,Multi Store Parcking
15494582,Al Hebiah Second,3271.58,2026,401,15-01-2026 9.46,15494582,3271.58,Land,Land
15500000,Dubai Investment Park Second,3112,2026,160,07-01-2026 14.16,15500000,3112,Land,Commercial
15500000,Um Suqaim Second,692.13,2026,984,11-02-2026 15.05,15500000,1384.26,Land,Government Housing
15512816,Al Hebiah Second,3275.43,2026,424,16-01-2026 8.51,15512816,3275.43,Land,Land
15532308,Dubai Investment Park Second,12025,2026,2641,09-06-2026 1.51,15532308,12025,Land,Commercial
15543432,Um Suqaim Third,2221.59,2026,892,09-02-2026 11.29,15543432,2221.59,Land,
15552248,Al Khabeesi,4128.15,2026,600,26-01-2026 10.06,15552248,4128.15,Land,Commercial
15600013,Trade Center First,1449.29,2026,947,10-02-2026 17.33,15600013,1449.29,Land,Industrial
15600034,Al Barsha First,1114.84,2026,553,22-01-2026 16.29,15600034,1114.84,Land,Commercial
15601294,Al Barsha First,1114.93,2026,805,04-02-2026 9.45,15601294,1114.93,Land,Commercial
15605360,Al Hebiah Second,3294.97,2026,425,16-01-2026 8.53,15605360,3294.97,Land,Land
15639990,Al Garhoud,3632.51,2026,776,03-02-2026 11.13,15639990,3632.51,Land,Residential / Villas
15658299,Jabal Ali First,2909.41,2026,1485,13-03-2026 10.14,15658299,2909.41,Land,Commercial
15747053,Al Nahda First,2659.91,2026,3015,30-06-2026 9.51,15747053,2659.91,Land,Residential
15752085,Al Mamzer,1626.02,2026,1474,12-03-2026 12.31,15752085,1626.02,Land,Commercial
15934748,Al Barsha First,1057.42,2026,1555,23-03-2026 10.49,15934748,1057.42,Land,Commercial
15999978,Jabal Ali Industrial First,1858.06,2026,972,11-02-2026 12.19,15999978,1858.06,Land,Labor Camp
16000000,Um Suqaim First,418.62,2026,362,14-01-2026 12.23,16000000,418.66,Land,Residential
16000000,Al Hebiah Third,519,2026,285,13-01-2026 10.38,16000000,519,Land,Residential
16000000,Al Mararr,342.16,2026,1092,16-02-2026 11.56,16000000,342.16,Land,Commercial
16000000,Al Hamriya,782.34,2026,1057,13-02-2026 12.13,16000000,782.34,Land,Commercial
16000000,Al Karama,1386.76,2026,725,02-02-2026 11.57,16000000,1386.76,Land,Commercial
16000000,Naif,349.5,2026,2086,22-04-2026 12.34,16000000,349.5,Land,Commercial
16000000,Eyal Nasser,276.01,2026,2707,11-06-2026 15.03,16000000,276.01,Land,Commercial
16000000,Dubai Investment Park First,2859,2026,1939,15-04-2026 8.56,16000000,2859,Land,Commercial
16048760,Al Bada,1490.98,2026,847,05-02-2026 14.35,16048760,1490.98,Land,Residential
16071967,Al Muteena,933.21,2026,1645,26-03-2026 11.56,16071967,933.21,Land,Commercial
16085142,Al Barshaa South Third,1494.36,2026,2845,22-06-2026 20.47,16085142,1494.36,Land,Residential
16200000,Jumeirah First,1904.51,2026,2924,25-06-2026 11.08,16200000,1904.51,Land,Residential
16241627,Al Yelayiss 1,2514.83,2026,2051,21-04-2026 8.44,16241627,2514.83,Land,Residential
16309978,Al Goze Industrial Second,4329.28,2026,888,09-02-2026 10.40,16309978,4329.28,Land,Industrial
16312602,Al Thanyah Fifth,630.36,2026,2226,04-05-2026 10.56,16312601.84,630.36,Unit,Office
16349783,Al Yelayiss 1,2761.72,2026,2394,15-05-2026 16.18,16349783,2761.72,Land,Residential
16399878,Al Manara,2344,2026,373,14-01-2026 16.07,16399878,2344,Land,Residential
16418112,Al Layan1,7626.47,2026,735,02-02-2026 13.29,16418112,7626.47,Land,Warehouse
16500036,Nad Al Shiba First,1393.55,2026,397,15-01-2026 9.35,16500036,1393.55,Land,Sports Club
16537489,Um Ramool,4389.67,2026,229,09-01-2026 11.00,16537489,4389.67,Land,Residential
16575932,Wadi Al Safa 3,1399.96,2026,2477,20-05-2026 15.33,16575932,1399.96,Land,
16584920,Al Barshaa South Second,3668.55,2026,2343,12-05-2026 11.06,16584920,3668.55,Land,Commercial
16584920,Al Barshaa South Second,3668.55,2026,394,15-01-2026 9.23,16584920,3668.55,Land,Commercial
16614295,Um Suqaim Third,1543.52,2026,2511,22-05-2026 11.09,16614295,1543.52,Land,Residential
16635500,Marsa Dubai,417.7,2026,2495,21-05-2026 14.20,16635500,417.7,Unit,Flat
16663412,Marsa Dubai,572.53,2026,2498,21-05-2026 14.34,16663412.31,572.53,Unit,Flat
16676037,Jabal Ali Industrial First,3873.14,2026,911,09-02-2026 15.23,16676037,3873.14,Land,Labor Camp
16802459,Jumeirah First,2401.54,2026,151,07-01-2026 11.32,16802459,2401.54,Land,Residential
16844018,Al Barshaa South Third,2407.48,2026,1975,17-04-2026 0.27,16844018,2407.48,Land,
16869539,Hor Al Anz East,1741.37,2026,951,11-02-2026 8.01,16869539,1741.37,Land,Residential
17000000,Ras Al Khor Industrial Second,3716.12,2026,2430,19-05-2026 11.14,17000000,3716.12,Land,Industrial
17000000,Nad Al Hamar,1858,2026,92,06-01-2026 11.54,17000000,1858,Land,
17285962,Al Murqabat,1605.92,2026,1989,17-04-2026 10.16,17285962,1605.92,Land,Commercial
17360244,Al Garhoud,4608.06,2026,532,21-01-2026 14.52,17360244,4608.06,Land,Commercial
17498226,Al Barshaa South Second,4359.74,2026,389,15-01-2026 9.07,17498226,4278,Land,Commercial
17513872,Al Merkadh,1712.73,2026,2302,08-05-2026 10.20,17513872,1712.73,Land,Land
17691072,Al Yelayiss 1,2739.26,2026,2800,18-06-2026 14.44,17691072,2739.26,Land,Villa
17694560,Mankhool,1174.2,2026,1844,09-04-2026 10.30,17694560,1174.2,Land,Commercial
17759789,Al Satwa,1374.95,2026,1965,16-04-2026 11.56,17759789,1374.95,Land,Commercial / Offices / Residential
17798907,Al Barshaa South Second,3801.32,2026,2336,12-05-2026 10.47,17798907,3801.32,Land,Commercial
17798907,Al Barshaa South Second,3801.32,2026,387,15-01-2026 8.56,17798907,3801.32,Land,Commercial
17812059,Al Barshaa South Third,1504.36,2026,1602,24-03-2026 12.27,17812059,1504.36,Land,Residential
17832566,Al Barshaa South Second,4359.74,2026,2339,12-05-2026 10.53,17832566,4359.74,Land,Commercial
18000000,Al Warsan First,1430.22,2026,1615,25-03-2026 8.11,18000000,1430.22,Land,Residential
18000000,Jumeirah Third,899.39,2026,1635,26-03-2026 8.31,18000000,899.39,Land,Residential
18000000,Jumeirah Third,910.45,2026,1919,13-04-2026 14.45,18000000,910.45,Land,Residential
18000000,Al Suq Al Kabeer,530.48,2026,1988,17-04-2026 9.57,18000000,530.48,Land,Commercial
18000000,Dubai Investment Park Second,8001.65,2026,2968,26-06-2026 12.48,18000000,8001.65,Land,Commercial
18000000,Al Manara,1637.8,2026,616,26-01-2026 12.56,18000000,1635.74,Land,Residential
18000039,Hor Al Anz,1393.55,2026,971,11-02-2026 12.17,18000039,1393.55,Land,Commercial
18000039,Um Al Sheif,1393.55,2026,816,04-02-2026 14.36,18000039,1393.55,Land,
18053269,Warsan Fourth,2541.22,2026,573,23-01-2026 10.33,18053269,2541.22,Land,
18175275,Marsa Dubai,623.46,2026,2499,21-05-2026 14.39,18175274.86,623.46,Unit,Flat
18208192,Al Hebiah Fourth,2819.33,2026,2440,19-05-2026 12.33,18208192,2819.33,Land,Residential Flats
18236458,Al Barsha First,1210.16,2026,1451,10-03-2026 14.21,18236458,1210.16,Land,Commercial
18352369,Al Yelayiss 2,6819.97,2026,1782,06-04-2026 12.32,18352369,6819.97,Land,Residential
18396785,Muhaisanah Second,6330.07,2026,2277,06-05-2026 12.26,18396785,6317.41,Land,Residential
18424352,Al Barsha Third,4279.2,2026,1626,25-03-2026 13.43,18424352,4279.2,Land,Residential
18429519,Al Suq Al Kabeer,570.72,2026,2570,03-06-2026 11.12,18429519,570.72,Land,Commercial
18500000,Saih Shuaib 2,7100.41,2026,1027,12-02-2026 13.35,18500000,7100.41,Land,Industrial
18646024,Al Warsan Third,8661.36,2026,482,20-01-2026 10.40,18646024,8661.37,Land,Agricultural
18678682,Nad Al Shiba First,1446.09,2026,2418,19-05-2026 8.29,18678682,1446.09,Land,Commercial
18678682,Nad Al Shiba First,1446.09,2026,2361,13-05-2026 10.19,18678682,1446.09,Land,Commercial
18694397,Jumeirah First,2170.96,2026,2710,11-06-2026 18.20,18694397,2170.96,Land,Residential
18793124,Al Hamriya,1454.95,2026,1102,16-02-2026 14.07,18793124,1454.95,Land,Commercial
18813166,Al Jadaf,1248.43,2026,2409,18-05-2026 15.14,18813166,1248.43,Land,Commercial
19000000,Al Suq Al Kabeer,282.43,2026,2429,19-05-2026 11.12,19000000,282.43,Land,Commercial
19000000,Mirdif,2204.67,2026,2178,28-04-2026 15.00,19000000,2204.67,Land,Residential
19000000,Ras Al Khor Industrial Second,4626.57,2026,2032,20-04-2026 11.13,19000000,4626.57,Land,Industrial
19185532,Al Muteena,1697.52,2026,259,12-01-2026 12.47,19185532,1697.52,Land,Commercial
19199956,Jumeirah Third,2229.67,2026,870,06-02-2026 11.28,19199956,2229.67,Land,Residential
19213562,Nad Al Shiba First,1428,2026,897,09-02-2026 12.35,19213562,1428,Land,Commercial
19214595,Madinat Hind 3,5950.32,2026,1516,16-03-2026 11.28,19214595,5950.32,Land,Residential
19233001,Saih Shuaib 2,3970.68,2026,2229,04-05-2026 11.06,19233001,3970.68,Land,Residential Flats
19239772,Al Satwa,1374.95,2026,2156,27-04-2026 13.16,19239772,1374.95,Land,Commercial / Offices / Residential
19268942,Al Jadaf,1193.43,2026,2702,11-06-2026 12.04,19268942,1193.43,Land,Commercial
19318768,Al Warqa First,2991.29,2026,1896,13-04-2026 9.57,19318768,2991.29,Land,Commercial
19338961,Ras Al Khor Industrial Second,3593.3,2026,1459,11-03-2026 12.25,19338961,3593.3,Land,Industrial
19375020,Um Suqaim First,3000,2026,2012,17-04-2026 13.03,19375020,3000,Land,
